categories,title,method_name,authors,venue,year,publication_type,paper_url,doi,code_url,code_license
surveys,Recent Developments in Machine Learning for Mass Spectrometry,,Armen G. Beck; Matthew Muhoberac; Caitlin E. Randolph; Connor H. Beveridge; Prageeth R. Wijewardhane; Hilkka I. Kenttämaa; Gaurav Chopra,ACS Measurement Science Au,2024,journal,https://doi.org/10.1021/acsmeasuresciau.3c00060,10.1021/acsmeasuresciau.3c00060,,
surveys,Computational Mass Spectrometry for Small Molecules,,Kerstin Scheubert; Franziska Hufsky; Sebastian Böcker,Journal of Cheminformatics,2013,journal,https://doi.org/10.1186/1758-2946-5-12,10.1186/1758-2946-5-12,,
formula-inference;systems-agents,Fragmentation Trees Reloaded,,Sebastian Böcker; Kai Dührkop,Journal of Cheminformatics,2016,journal,https://doi.org/10.1186/s13321-016-0116-8,10.1186/s13321-016-0116-8,https://github.com/sirius-ms/sirius,NOASSERTION
formula-inference,Database-Independent Molecular Formula Annotation Using Gibbs Sampling through ZODIAC,ZODIAC,Marcus Ludwig; Louis-Félix Nothias; Kai Dührkop; Irina Koester; Markus Fleischauer; Martin A. Hoffmann; Daniel Petras; Fernando Vargas; Mustafa Morsy; Lihini Aluwihare; Pieter C. Dorrestein; Sebastian Böcker,Nature Machine Intelligence,2020,journal,https://doi.org/10.1038/s42256-020-00234-6,10.1038/s42256-020-00234-6,https://github.com/boecker-lab/sirius-libs,NOASSERTION
formula-inference,MIST-CF: Chemical Formula Inference from Tandem Mass Spectra,MIST-CF,Samuel Goldman; Jiayi Xin; Joules Provenzano; Connor W. Coley,Journal of Chemical Information and Modeling,2024,journal,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01082,10.1021/acs.jcim.3c01082,https://github.com/samgoldman97/mist-cf,MIT
formula-inference,BUDDY: Molecular Formula Discovery via Bottom-up MS/MS Interrogation,BUDDY,Shipei Xing; Sam Shen; Banghua Xu; Xiaoxiao Li; Tao Huan,Nature Methods,2023,journal,https://doi.org/10.1038/s41592-023-01850-x,10.1038/s41592-023-01850-x,https://github.com/HuanLab/BUDDY,NOASSERTION
formula-inference,FIDDLE: A Deep Learning Method for Chemical Formulas Prediction from Tandem Mass Spectra,FIDDLE,Yuhui Hong; Sujun Li; Yuzhen Ye; Haixu Tang,Nature Communications,2025,journal,https://www.nature.com/articles/s41467-025-66060-9,10.1038/s41467-025-66060-9,https://github.com/JosieHong/FIDDLE,Apache-2.0
formula-inference;systems-agents,Knowledge and Data-Driven Two-Layer Networking for Accurate Metabolite Annotation in Untargeted Metabolomics,MetDNA3,Haosong Zhang; Xinhao Zeng; Yandong Yin; Zheng-Jiang Zhu,Nature Communications,2025,journal,https://www.nature.com/articles/s41467-025-63536-6,10.1038/s41467-025-63536-6,https://github.com/ZhuMetLab/MrnAnnoAlgo3,CC-BY-NC-ND-4.0
surveys,DENDRAL: A Case Study of the First Expert System for Scientific Hypothesis Formation,DENDRAL,Robert K. Lindsay; Bruce G. Buchanan; Edward A. Feigenbaum; Joshua Lederberg,Artificial Intelligence,1993,journal,https://doi.org/10.1016/0004-3702(93)90068-M,10.1016/0004-3702(93)90068-M,,
structure-to-spectrum,In Silico Fragmentation for Computer Assisted Identification of Metabolite Mass Spectra,MetFrag,Sebastian Wolf; Stephan Schmidt; Matthias Müller-Hannemann; Steffen Neumann,BMC Bioinformatics,2010,journal,https://doi.org/10.1186/1471-2105-11-148,10.1186/1471-2105-11-148,https://github.com/ipb-halle/MetFragRelaunched,NOASSERTION
structure-to-spectrum,Substructure-Based Annotation of High-Resolution Multistage MSn Spectral Trees,MAGMa,Lars Ridder; Justin J. J. van der Hooft; Stefan Verhoeven; Ric C. H. de Vos; René van Schaik; Jacques Vervoort,Rapid Communications in Mass Spectrometry,2012,journal,https://doi.org/10.1002/rcm.6364,10.1002/rcm.6364,https://github.com/NLeSC/MAGMa,NOASSERTION
structure-to-spectrum,MetFrag Relaunched: Incorporating Strategies beyond In Silico Fragmentation,MetFrag,Christoph Ruttkies; Emma L. Schymanski; Sebastian Wolf; Juliane Hollender; Steffen Neumann,Journal of Cheminformatics,2016,journal,https://doi.org/10.1186/s13321-016-0115-9,10.1186/s13321-016-0115-9,https://github.com/ipb-halle/MetFragRelaunched,NOASSERTION
